Semaine,Date,N°. ZONE,NameZONE,N°. Atelier,NameAtelier ,Obj Safety,# d'accident Avec Arrêt 
S33,11-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,0,0
S33,11-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S33,11-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S33,11-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,11-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S33,11-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,11-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,11-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,1
S33,11-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S33,11-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,11-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,11-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S33,12-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,0,0
S33,12-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S33,12-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,1
S33,12-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,12-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S33,12-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,12-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,12-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S33,12-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,1
S33,12-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,12-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,12-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S33,13-Aug,ZONE.1,INJ.XC_MQB,ATEL.1,ATELIER INJ. XC,0,0
S33,13-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S33,13-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S33,13-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,13-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,1
S33,13-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,13-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,13-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S33,13-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S33,13-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,13-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,13-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S33,14-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,1
S33,15-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S33,16-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,17-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S33,18-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,19-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,20-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,1
S33,21-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S33,22-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,23-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,24-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S33,15-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S33,15-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S33,15-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,15-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S33,15-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,15-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,15-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S33,15-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S33,15-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,15-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,15-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S33,16-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S33,16-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S33,16-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S33,16-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S33,16-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S33,16-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S33,16-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S33,16-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S33,16-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S33,16-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S33,16-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,17-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,17-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,17-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,17-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,17-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,1
S34,17-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,17-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,17-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,17-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,17-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,17-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,18-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,18-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,18-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,18-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,18-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,18-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,18-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,18-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,18-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,18-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,18-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,19-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,19-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,19-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,19-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,19-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,19-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,19-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,19-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,19-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,19-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,19-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,20-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,20-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,20-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,20-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,20-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,20-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,20-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,20-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,20-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,20-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,20-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,21-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,21-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,21-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,21-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,21-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,21-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,21-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,21-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,21-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,21-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,21-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,22-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,1
S34,22-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,22-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,22-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,22-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,22-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,22-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,22-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,22-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,22-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,22-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S34,23-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S34,23-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S34,23-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S34,23-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S34,23-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S34,23-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S34,23-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S34,23-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S34,23-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S34,23-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S34,23-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,24-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,24-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,24-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,24-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,24-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,24-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,24-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,24-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,24-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,24-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,24-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,25-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,25-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,25-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,25-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,25-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,25-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,25-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,25-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,25-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,25-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,25-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,26-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,26-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,26-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,26-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,26-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,26-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,26-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,26-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,26-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,26-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,26-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,27-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,27-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,27-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,27-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,27-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,27-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,27-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,27-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,27-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,27-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,27-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,28-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,28-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,1
S35,28-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,28-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,28-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,28-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,28-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,28-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,28-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,28-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,28-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,29-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,29-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,29-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,29-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,29-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,29-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,29-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,29-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,29-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,29-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,0
S35,29-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
S35,30-Aug,ZONE.2,INJ.XC_PSA,ATEL.1,ATELIER INJ. XC,0,0
S35,30-Aug,ZONE.3,INJ.XC_A321.Neo,ATEL.1,ATELIER INJ. XC,0,0
S35,30-Aug,ZONE.4,IR.XC_MQB,ATEL.2,ATELIER IR. XC,0,0
S35,30-Aug,ZONE.5,IR.XC_PSA,ATEL.2,ATELIER IR. XC,0,0
S35,30-Aug,ZONE.6,IR.XC_A321.Neo,ATEL.2,ATELIER IR. XC,0,0
S35,30-Aug,ZONE.7,ASS_MQB,ATEL.3,ATELIER.ASS ,0,0
S35,30-Aug,ZONE.8,ASS_PSA,ATEL.3,ATELIER.ASS ,0,0
S35,30-Aug,ZONE.9,ASS_A321.Neo,ATEL.3,ATELIER.ASS ,0,0
S35,30-Aug,ZONE.10,FIN_MQB,ATEL.4,ATELIER.FIN,0,0
S35,30-Aug,ZONE.11,FIN_PSA,ATEL.4,ATELIER.FIN,0,1
S35,30-Aug,ZONE.12,FIN_A321.Neo,ATEL.4,ATELIER.FIN,0,0
